Date, Close/Last, Volume, Open, High, Low
04/03/2020, $480.01, 22562080, $509.5, $515.49, $468.3901
04/02/2020, $454.47, 19858430, $481.03, $494.2599, $446.4
04/01/2020, $481.56, 13353180, $504, $513.9548, $475.1
03/31/2020, $524, 17771490, $501.25, $542.96, $497
03/30/2020, $502.13, 11998070, $510.26, $516.6471, $491.23
03/27/2020, $514.36, 14377410, $505, $525.8, $494.03
03/26/2020, $528.16, 17422080, $547.39, $560, $512.25
03/25/2020, $539.25, 21222750, $545.25, $557, $511.11
03/24/2020, $505, 22895170, $477.3, $513.69, $474
03/23/2020, $434.29, 16454550, $433.6, $441.9999, $410.5
03/20/2020, $427.53, 28285500, $438.2, $477, $425.79
03/19/2020, $427.64, 30195460, $374.697, $452, $358.46
03/18/2020, $361.22, 23786160, $389, $404.86, $350.51
03/17/2020, $430.2, 23994580, $440.01, $471.85, $396
03/16/2020, $445.07, 20489460, $469.4997, $494.8699, $442.17
03/13/2020, $546.62, 22640250, $595, $607.57, $502
03/12/2020, $560.55, 18909050, $580.89, $594.5, $546.25
03/11/2020, $634.23, 13413590, $640.2, $653.58, $613
03/10/2020, $645.33, 15594440, $659.43, $668, $608
03/09/2020, $608, 17073740, $605.39, $662.998, $605
03/06/2020, $703.48, 12662920, $690.004, $707, $684.27
03/05/2020, $724.54, 10852660, $723.77, $745.75, $718.07
03/04/2020, $749.5, 15048980, $763.9603, $766.52, $724.7345
03/03/2020, $745.51, 25784000, $805, $806.98, $716.1106
03/02/2020, $743.62, 20194990, $711.26, $743.69, $686.67
02/28/2020, $667.99, 24564170, $629.7, $690.52, $611.52
02/27/2020, $679, 24277160, $730, $739.77, $669
02/26/2020, $778.8, 14153840, $782.5, $813.31, $776.11
02/25/2020, $799.91, 17290480, $849, $856.6, $787
02/24/2020, $833.79, 15192160, $839, $863.5, $822.2
02/21/2020, $901, 14339450, $906.98, $913.06, $880.45
02/20/2020, $899.41, 17634890, $911.95, $912, $859.94
02/19/2020, $917.42, 25422960, $923.5, $944.78, $901.02
02/18/2020, $858.4, 16698370, $841.6, $860, $832.36
02/14/2020, $800.03, 15693710, $787.22, $812.97, $785.5
02/13/2020, $804, 26289350, $741.84, $818, $735
02/12/2020, $767.29, 12022470, $777.87, $789.75, $763.37
02/11/2020, $774.38, 11697470, $768.79, $783.5061, $758
02/10/2020, $771.28, 24689160, $800, $819.99, $752.4
02/07/2020, $748.07, 17063520, $730.55, $769.75, $730
02/06/2020, $748.96, 39880750, $699.92, $795.83, $687
02/05/2020, $734.7, 48423840, $823.26, $845.98, $704.1106
02/04/2020, $887.06, 60938760, $882.96, $968.9899, $833.88
02/03/2020, $780, 47233500, $673.69, $786.14, $673.52
01/31/2020, $650.57, 15719270, $640, $653, $632.52
01/30/2020, $640.81, 29005680, $632.42, $650.88, $618
01/29/2020, $580.99, 18216670, $575.69, $589.7999, $567.43
01/28/2020, $566.9, 11788490, $568.49, $576.81, $558.08
01/27/2020, $558.02, 13608070, $541.99, $564.44, $539.28
01/24/2020, $564.82, 14353600, $570.63, $573.86, $554.26
01/23/2020, $572.2, 19651040, $564.25, $582, $555.6027
01/22/2020, $569.56, 31369030, $571.89, $594.5, $559.1
01/21/2020, $547.2, 17803470, $530.25, $548.58, $528.41
01/17/2020, $510.5, 13629070, $507.61, $515.6699, $503.16
01/16/2020, $513.49, 21736650, $493.75, $514.46, $492.17
01/15/2020, $518.5, 17368830, $529.76, $537.84, $516.7853
01/14/2020, $537.92, 29061380, $544.255, $547.41, $524.9
01/13/2020, $524.86, 26634550, $493.5, $525.63, $492
01/10/2020, $478.15, 12976830, $481.79, $484.94, $473.7
01/09/2020, $481.34, 28463190, $497.1, $498.8, $472.87
01/08/2020, $492.14, 31199390, $473.7, $498.49, $468.23
01/07/2020, $469.06, 18209140, $461.4, $471.63, $453.355
01/06/2020, $451.54, 10157500, $440.47, $451.56, $440
01/03/2020, $443.01, 17794700, $440.5, $454, $436.92
01/02/2020, $430.26, 9558386, $424.5, $430.6957, $421.71
12/31/2019, $418.33, 10292460, $405, $421.29, $402.08
12/30/2019, $414.7, 12601270, $428.79, $429, $409.2589
12/27/2019, $430.38, 9956827, $435, $435.31, $426.11
12/26/2019, $430.94, 10648290, $427.91, $433.48, $426.35
12/24/2019, $425.25, 8054720, $418.36, $425.47, $412.6875
12/23/2019, $419.22, 13332820, $411.78, $422.01, $410
12/20/2019, $405.59, 14785210, $410.29, $413, $400.185
12/19/2019, $404.04, 18120310, $397.32, $406.85, $396.5
12/18/2019, $393.15, 14136390, $380.63, $395.22, $380.58
12/17/2019, $378.99, 8503775, $378.99, $385.5, $375.9
12/16/2019, $381.5, 18220940, $362.55, $383.61, $362.5
12/13/2019, $358.39, 6574281, $361.05, $365.21, $354.64
12/12/2019, $359.68, 7776211, $354.92, $362.74, $353.23
12/11/2019, $352.7, 6919162, $351.8765, $357.1899, $351.09
12/10/2019, $348.84, 8839951, $339.96, $350.73, $339.31
12/09/2019, $339.53, 9040217, $336.59, $344.45, $335.08
12/06/2019, $335.89, 7618937, $335, $338.86, $334.77
12/05/2019, $330.37, 3736976, $332.83, $334.4227, $327.25
12/04/2019, $333.03, 5536255, $337.75, $337.86, $332.85
12/03/2019, $336.2, 6613476, $332.62, $337.91, $332.186
12/02/2019, $334.87, 6081986, $329.4, $336.3827, $328.687
11/29/2019, $329.94, 2465629, $331.11, $331.26, $327.5
11/27/2019, $331.29, 5563459, $331.12, $333.93, $328.57
11/26/2019, $328.92, 7956239, $335.27, $335.5, $327.1
11/25/2019, $336.34, 12345770, $344.32, $344.57, $334.46
11/22/2019, $333.04, 16870640, $340.16, $341, $330
11/21/2019, $354.83, 6110013, $354.51, $360.84, $354.0039
11/20/2019, $352.22, 6733965, $360, $361.2, $349.57
11/19/2019, $359.52, 7736078, $351.75, $359.99, $347.8
11/18/2019, $349.99, 4408505, $352.917, $353.15, $346.1
11/15/2019, $352.17, 4812563, $350.64, $352.8, $348.36
11/14/2019, $349.35, 6471703, $346.11, $353.84, $342.91
11/13/2019, $346.11, 8467863, $355, $356.33, $345.18
11/12/2019, $349.93, 7359383, $346.9, $350.37, $344.04
11/11/2019, $345.09, 9993689, $343.95, $349.19, $342
11/08/2019, $337.14, 6074221, $334.5, $337.46, $332.5
11/07/2019, $335.54, 14467350, $329.14, $341.5, $328.02
11/06/2019, $326.58, 7940932, $318, $326.72, $314.5
11/05/2019, $317.22, 6943417, $319.62, $323.51, $316.118
11/04/2019, $317.47, 8787040, $314.8, $321.94, $309.26
11/01/2019, $313.31, 6383929, $316.32, $316.48, $309.8
10/31/2019, $314.92, 5066956, $313.1, $319, $313
10/30/2019, $315.01, 9641810, $313, $318.79, $309.97
10/29/2019, $316.22, 12684270, $319.99, $324.3, $314.75
10/28/2019, $327.71, 18870290, $327.54, $340.84, $322.6
10/25/2019, $328.13, 30006090, $297.72, $330, $296.11
10/24/2019, $299.68, 29819230, $298.37, $304.93, $289.2
10/23/2019, $254.68, 11216180, $254.5, $256.14, $251.35
10/22/2019, $255.58, 4625095, $254.32, $258.33, $250.85
10/21/2019, $253.5, 5108101, $258.33, $259.5, $250.18
10/18/2019, $256.95, 5753666, $260.7, $262.8, $255.1
10/17/2019, $261.97, 4779043, $262.5, $264.78, $260.17
10/16/2019, $259.75, 6704303, $257.39, $262.1, $256.92
10/15/2019, $257.89, 6479456, $257.7, $260, $254.12
10/14/2019, $256.96, 10226860, $247.9, $258.55, $247.13
10/11/2019, $247.89, 8488159, $247.15, $251.08, $246.81
10/10/2019, $244.74, 6313417, $245.28, $249.28, $241.58
10/09/2019, $244.53, 6935033, $241.32, $247.295, $240.65
10/08/2019, $240.05, 8702338, $235.87, $243.94, $234.5
10/07/2019, $237.72, 8086957, $229.8, $238.56, $228.55
10/04/2019, $231.43, 8021180, $231.61, $234.78, $228.07
10/03/2019, $233.03, 15137760, $231.86, $234.48, $224.28
10/02/2019, $243.13, 6256548, $243.29, $244.65, $239.43
10/01/2019, $244.69, 6196290, $241.5, $245.95, $239.13
09/30/2019, $240.87, 5946161, $243, $243.98, $236.1111
09/27/2019, $242.13, 11123180, $242.2, $248.71, $238.73
09/26/2019, $242.56, 12078790, $230.66, $243.31, $227.4
09/25/2019, $228.7, 9444286, $224.56, $228.98, $218.36
09/24/2019, $223.21, 12941110, $241.52, $241.99, $222.61
09/23/2019, $241.23, 4391630, $240, $245.1794, $239.22
09/20/2019, $240.62, 6506264, $246.49, $246.946, $238.16
09/19/2019, $246.6, 4883135, $246, $247.94, $244.84
09/18/2019, $243.49, 4228103, $245, $248.1685, $242.37
09/17/2019, $244.79, 3946909, $242.47, $245.6, $240.37
09/16/2019, $242.81, 4728096, $246, $247.43, $241.17
09/13/2019, $245.2, 5313145, $246.96, $248.45, $244.865
09/12/2019, $245.87, 8581210, $247.7, $253.5, $244.4
09/11/2019, $247.1, 10042780, $237.38, $248.1741, $236
09/10/2019, $235.54, 4883714, $230.8, $235.54, $228.94
09/09/2019, $231.79, 4802669, $230, $233.76, $229.23
09/06/2019, $227.45, 4189372, $227.2, $229.64, $225.17
09/05/2019, $229.58, 7403322, $222.5, $229.8, $220.85
09/04/2019, $220.68, 5768696, $226.89, $228.46, $219.205
09/03/2019, $225.01, 5360546, $224.08, $228.95, $223.16
08/30/2019, $225.61, 9327775, $229.15, $232.44, $224.213
08/29/2019, $221.71, 5183104, $219, $223.4, $218
08/28/2019, $215.59, 3238625, $213.69, $217.25, $212.31
08/27/2019, $214.08, 5420727, $215.74, $218.8, $212.03
08/26/2019, $215, 5054414, $213.6, $215.02, $211.54
08/23/2019, $211.4, 8559704, $219.97, $221.17, $211
08/22/2019, $222.15, 6564964, $222.8, $225.4, $218.22
08/21/2019, $220.83, 7799744, $222.01, $223.22, $217.6
08/20/2019, $225.86, 4170527, $227.62, $229.09, $224.54
08/19/2019, $226.83, 5311748, $224.21, $227.83, $221.7
08/16/2019, $219.94, 5207376, $216.66, $222.24, $216.02
08/15/2019, $215.64, 8231952, $220.86, $221.56, $211.55
08/14/2019, $219.62, 9562591, $231.21, $231.5, $216.69
08/13/2019, $235, 4868998, $228.81, $236, $227.55
08/12/2019, $229.01, 4663937, $232.99, $235.77, $228.75
08/09/2019, $235.01, 3898244, $236.054, $238.96, $233.81
08/08/2019, $238.3, 5274349, $234.45, $239.8, $232.65
08/07/2019, $233.42, 4776500, $226.5, $233.5688, $225.8
08/06/2019, $230.75, 5564200, $231.88, $232.5, $225.75
08/05/2019, $228.32, 7028279, $229.6, $231.3673, $225.775
08/02/2019, $234.34, 6136481, $231.35, $236.27, $229.23
08/01/2019, $233.85, 8259516, $242.65, $244.51, $231.77
07/31/2019, $241.61, 9178208, $243, $246.68, $236.6501
07/30/2019, $242.26, 8109014, $232.9, $243.36, $232.18
07/29/2019, $235.77, 9273331, $227.09, $235.94, $226.0325
07/26/2019, $228.04, 10027700, $226.92, $230.26, $222.25
07/25/2019, $228.82, 22418250, $233.5, $234.5, $225.5501
07/24/2019, $264.88, 11072840, $259.17, $266.07, $258.1601
07/23/2019, $260.17, 5023121, $256.71, $260.48, $254.5
07/22/2019, $255.68, 6846273, $258.75, $262.155, $254.1911
07/19/2019, $258.18, 7048410, $255.69, $259.96, $254.62
07/18/2019, $253.54, 4764483, $255.05, $255.75, $251.885
07/17/2019, $254.86, 9764727, $255.67, $258.31, $253.35
07/16/2019, $252.38, 8148989, $249.3, $253.53, $247.9325
07/15/2019, $253.5, 11000090, $248, $254.42, $244.86
07/12/2019, $245.08, 9200521, $239.75, $245.38, $239.71
07/11/2019, $238.6, 7514430, $238.14, $241.5, $235.8
07/10/2019, $238.92, 9145736, $234.15, $238.94, $233.14
07/09/2019, $230.06, 6190835, $228.97, $231, $227.28
07/08/2019, $230.34, 5880542, $231.24, $232.25, $228.66
07/05/2019, $233.1, 7065738, $234.57, $235.45, $230.8
07/03/2019, $234.9, 14201150, $239.39, $241.57, $234.51
07/02/2019, $224.55, 9259027, $228.89, $229.15, $222.22
07/01/2019, $227.17, 8237964, $230.21, $233.0995, $226.28
06/28/2019, $223.46, 6851384, $220.99, $225.17, $220.8
06/27/2019, $222.84, 6339710, $219.45, $222.9, $217.35
06/26/2019, $219.27, 8507208, $220.31, $227.23, $218.1
06/25/2019, $219.76, 6182071, $224.39, $225.34, $219.49
06/24/2019, $223.64, 5750771, $223.24, $225.86, $221.02
06/21/2019, $221.86, 8202078, $216.22, $222.18, $215.5
06/20/2019, $219.62, 11863460, $223, $226.9, $216.35
06/19/2019, $226.43, 6575135, $225.11, $227.77, $221.06
06/18/2019, $224.74, 12715790, $228.72, $234.74, $222.56
06/17/2019, $225.03, 12316800, $215.48, $227, $214.27
06/14/2019, $214.92, 7433402, $211.25, $216.65, $210.4
06/13/2019, $213.91, 8168260, $210.38, $214.9, $207.5103
06/12/2019, $209.26, 15197540, $222.95, $223.38, $209
06/11/2019, $217.1, 11653540, $219.144, $220.9, $213.5
06/10/2019, $212.88, 10585040, $210.25, $216.94, $209.01
06/07/2019, $204.5, 16003530, $205, $210.8438, $203.499
06/06/2019, $205.95, 20242150, $204.44, $211, $201.8
06/05/2019, $196.59, 13510760, $198.68, $201.2782, $191.8486
06/04/2019, $193.6, 13807520, $181.1, $193.98, $179.61
06/03/2019, $178.97, 13064410, $185.51, $186.68, $176.9919
05/31/2019, $185.16, 10406730, $185.1, $189.9204, $184.1
05/30/2019, $188.22, 7926475, $188.75, $192.255, $187.02
05/29/2019, $189.86, 11968640, $187.1, $192.39, $185.0401
05/28/2019, $188.7, 10312900, $191.2, $195, $187.85
05/24/2019, $190.63, 14136570, $199.83, $199.98, $188.7505
05/23/2019, $195.49, 26547140, $194.34, $199.465, $186.22
05/22/2019, $192.73, 18685190, $199.1, $203.94, $191.78
05/21/2019, $205.08, 18003900, $197.76, $207.4, $196.04
05/20/2019, $205.36, 20526200, $202.8, $206, $195.25
05/17/2019, $211.03, 17786670, $221.96, $222.24, $208.92
05/16/2019, $228.33, 7483273, $229.49, $231, $226.5
05/15/2019, $231.95, 7295976, $229.32, $232.44, $225.25
05/14/2019, $232.31, 7252412, $229.3, $234.5, $228
05/13/2019, $227.01, 10834800, $232.01, $232.47, $224.5
05/10/2019, $239.52, 7008336, $239.75, $241.99, $236.02
05/09/2019, $241.98, 6711382, $242, $243.68, $236.9434
05/08/2019, $244.84, 6176440, $246.94, $250.599, $244.2
05/07/2019, $247.06, 10131410, $256.8, $257.21, $245.1
05/06/2019, $255.34, 10833940, $250.02, $258.3499, $248.5
05/03/2019, $255.03, 23706770, $243.86, $256.61, $243.49
05/02/2019, $244.1, 18159340, $245.52, $247.13, $237.72
05/01/2019, $234.01, 10704350, $238.85, $240, $231.5
04/30/2019, $238.69, 9446965, $242.06, $244.21, $237
04/29/2019, $241.47, 16686620, $235.86, $243.98, $232.17
04/26/2019, $235.14, 22151160, $246.5, $246.68, $231.13
04/25/2019, $247.63, 21823380, $255, $259, $246.07
04/24/2019, $258.66, 9657061, $263.85, $265.32, $258
04/23/2019, $263.9, 10909350, $260.15, $265.6, $255.75
04/22/2019, $262.75, 12101690, $269, $269.68, $262.48
04/18/2019, $273.26, 5861478, $271.23, $274.84, $269.75
04/17/2019, $271.23, 5118011, $274.75, $274.79, $268.535
04/16/2019, $273.36, 7266504, $265.75, $275, $264.72
04/15/2019, $266.38, 10032490, $268.63, $268.88, $258.63
04/12/2019, $267.7, 6735386, $270.22, $271.95, $266.83
04/11/2019, $268.42, 9781294, $268.3, $270.5, $265.6
04/10/2019, $276.06, 7045034, $276.74, $278.38, $272.8925
04/09/2019, $272.31, 5893247, $271.65, $275, $269.61
04/08/2019, $273.2, 10364600, $277.69, $281.16, $270.44
